ExperimentID,SystemName,TextNumber,UserID,Event,Timestamp
0_VoiceGaze_5464564_23/04/2021,VoiceGaze,0,5464564,NewExperiment,202104231952487041
0_VoiceGaze_64564545_23/04/2021,VoiceGaze,0,64564545,NewExperiment,202104231956175341
0_VoiceGaze_56455123_23/04/2021,VoiceGaze,0,56455123,NewExperiment,202104231958411342
0_VoiceGaze_5464521_23/04/2021,VoiceGaze,0,5464521,NewExperiment,202104232004083744
0_VoiceGaze_6465465132_23/04/2021,VoiceGaze,0,6465465132,NewExperiment,202104232006126536
0_VoiceGaze_45646_23/04/2021,VoiceGaze,0,45646,NewExperiment,202104232008179597
0_VoiceGaze_4561222_23/04/2021,VoiceGaze,0,4561222,NewExperiment,202104232012164265
0_VoiceGaze_645645546_23/04/2021,VoiceGaze,0,645645546,NewExperiment,202104232014494891
0_VoiceGaze_645312321_24/04/2021,VoiceGaze,0,645312321,NewExperiment,202104242228597622
0_VoiceGaze_231312654_24/04/2021,VoiceGaze,0,231312654,NewExperiment,202104242231114784
0_VoiceGaze_654131_24/04/2021,VoiceGaze,0,654131,NewExperiment,202104242249165082
0_VoiceGaze_645645_24/04/2021,VoiceGaze,0,645645,NewExperiment,202104242251556827
0_VoiceGaze_123123156_24/04/2021,VoiceGaze,0,123123156,NewExperiment,202104242252376986
0_VoiceGaze_5641323_24/04/2021,VoiceGaze,0,5641323,NewExperiment,202104242254000256
0_VoiceGaze_2312136_24/04/2021,VoiceGaze,0,2312136,NewExperiment,202104242255119463
0_VoiceGaze_23123456_25/04/2021,VoiceGaze,0,23123456,NewExperiment,202104251144485575
0_VoiceGaze_645645_25/04/2021,VoiceGaze,0,645645,NewExperiment,202104251228254810
0_VoiceGaze_1231_25/04/2021,VoiceGaze,0,1231,NewExperiment,202104251228570890
0_VoiceGaze_1232126_25/04/2021,VoiceGaze,0,1232126,NewExperiment,202104251230171694
0_VoiceGaze_45564456_25/04/2021,VoiceGaze,0,45564456,NewExperiment,202104251436114584
0_VoiceGaze_45564456_25/04/2021,VoiceGaze,0,45564456,EndExperiment,202104251436193068
1_VoiceGaze_45564456_25/04/2021,VoiceGaze,1,45564456,NewExperiment,202104251436273694
0_VoiceGaze_123123_25/04/2021,VoiceGaze,0,123123,NewExperiment,202104251440478689
0_VoiceGaze_123123_25/04/2021,VoiceGaze,0,123123,EndExperiment,202104251441353208
0_VoiceGaze_213231123_25/04/2021,VoiceGaze,0,213231123,NewExperiment,202104251442460724
0_VoiceGaze_213231123_25/04/2021,VoiceGaze,0,213231123,EndExperiment,202104251443053604
0_VoiceGaze_231312231_25/04/2021,VoiceGaze,0,231312231,NewExperiment,202104251545449742
0_VoiceGaze_231312231_25/04/2021,VoiceGaze,0,231312231,EndExperiment,202104251546138495
1_VoiceGaze_231312231_25/04/2021,VoiceGaze,1,231312231,NewExperiment,202104251546213605
0_VoiceGaze_456645645_25/04/2021,VoiceGaze,0,456645645,NewExperiment,202104251547580053
0_VoiceGaze_456645645_25/04/2021,VoiceGaze,0,456645645,EndExperiment,202104251548220938
0_VoiceGaze_645465312123_25/04/2021,VoiceGaze,0,645465312123,NewExperiment,202104251552145475
0_VoiceGaze_645465312123_25/04/2021,VoiceGaze,0,645465312123,EndExperiment,202104251552364478
1_VoiceGaze_645465312123_25/04/2021,VoiceGaze,1,645465312123,NewExperiment,202104251552517896
1_VoiceGaze_645465312123_25/04/2021,VoiceGaze,1,645465312123,EndExperiment,202104251553591279
2_VoiceGaze_645465312123_25/04/2021,VoiceGaze,2,645465312123,NewExperiment,202104251554107719
0_VoiceGaze_654564_25/04/2021,VoiceGaze,0,654564,NewExperiment,202104251559446850
0_VoiceGaze_654564_25/04/2021,VoiceGaze,0,654564,EndExperiment,202104251600057181
1_VoiceGaze_654564_25/04/2021,VoiceGaze,1,654564,NewExperiment,202104251600142797
1_VoiceGaze_654564_25/04/2021,VoiceGaze,1,654564,EndExperiment,202104251600325228
2_VoiceGaze_654564_25/04/2021,VoiceGaze,2,654564,NewExperiment,202104251600500290
2_VoiceGaze_654564_25/04/2021,VoiceGaze,2,654564,EndExperiment,202104251601335057
0_VoiceGaze_123_26/04/2021,VoiceGaze,0,123,NewExperiment,202104260930032095
0_VoiceGaze_123_26/04/2021,VoiceGaze,0,123,NewExperiment,202104260931242603
0_VoiceGaze_234_26/04/2021,VoiceGaze,0,234,NewExperiment,202104260937240998
0_VoiceGaze_234_26/04/2021,VoiceGaze,0,234,EndExperiment,202104260938000863
0_VoiceGaze_123_26/04/2021,VoiceGaze,0,123,NewExperiment,202104260940205237
0_VoiceGaze_123_26/04/2021,VoiceGaze,0,123,EndExperiment,202104260944061276
1_VoiceGaze_123_26/04/2021,VoiceGaze,1,123,NewExperiment,202104260944355140
