ExperimentID,SystemName,TextNumber,UserID,Event,Timestamp
0_VoiceGaze_123_03-05-2021,VoiceGaze,0,123,NewExperiment,2021-05-03 13:24:56
0_VoiceGaze_123_03-05-2021,VoiceGaze,0,123,NewExperiment,2021-05-03 13:28:08
0_VoiceGaze_123_03-05-2021,VoiceGaze,0,123,EndExperiment,2021-05-03 13:31:24
1_VoiceGaze_123_03-05-2021,VoiceGaze,1,123,NewExperiment,2021-05-03 13:32:36
1_VoiceGaze_123_03-05-2021,VoiceGaze,1,123,EndExperiment,2021-05-03 13:35:35
0_VoiceOnly_123_03-05-2021,VoiceOnly,0,123,NewExperiment,2021-05-03 13:49:43
0_VoiceGaze_123_03-05-2021,VoiceGaze,0,123,NewExperiment,2021-05-03 13:55:53
0_VoiceGaze_123_03-05-2021,VoiceGaze,0,123,EndExperiment,2021-05-03 13:56:03
0_VoiceGaze_123_03-05-2021,VoiceGaze,0,123,NewExperiment,2021-05-03 14:48:03
0_VoiceGaze_123_03-05-2021,VoiceGaze,0,123,EndExperiment,2021-05-03 14:48:25
1_VoiceGaze_123_03-05-2021,VoiceGaze,1,123,NewExperiment,2021-05-03 14:48:34
1_VoiceGaze_123_03-05-2021,VoiceGaze,1,123,EndExperiment,2021-05-03 14:48:45
2_VoiceGaze_123_03-05-2021,VoiceGaze,2,123,NewExperiment,2021-05-03 14:48:57
2_VoiceGaze_123_03-05-2021,VoiceGaze,2,123,EndExperiment,2021-05-03 14:52:06
